                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.99682,                 1.2843,                 1.4534,                0.48469,                0.39941,                0.41297,                0.28914,                 1.5401,                 2.1679,                 2.0609,             0.00039241,             0.00039241,             0.00039241
                    100,                 1.0144,                 1.2966,                  1.454,                0.31366,                0.36222,                0.29994,                0.19728,                 1.5889,                 2.3346,                 2.1154,             0.00038507,             0.00038507,             0.00038507
                    101,                 1.0042,                 1.3012,                 1.4439,                0.47722,                0.44011,                0.46154,                0.30354,                 1.4809,                  2.115,                 1.9953,             0.00037774,             0.00037774,             0.00037774
                    102,                0.98359,                  1.276,                 1.4382,                0.43934,                0.47692,                 0.4328,                0.28649,                 1.5339,                 2.0331,                 2.0212,             0.00037041,             0.00037041,             0.00037041
                    103,                0.96063,                 1.2733,                 1.4105,                0.46215,                0.47816,                0.43368,                0.29018,                 1.5028,                 2.1074,                 2.0499,             0.00036307,             0.00036307,             0.00036307
                    104,                0.99215,                 1.2531,                 1.4412,                0.49726,                0.45402,                0.45262,                  0.282,                  1.546,                 2.0967,                 2.0461,             0.00035574,             0.00035574,             0.00035574
                    105,                 0.9778,                  1.225,                 1.4261,                0.38732,                0.46344,                 0.4128,                0.28939,                  1.479,                 2.0836,                 1.9917,             0.00034841,             0.00034841,             0.00034841
                    106,                0.96658,                 1.2254,                 1.4105,                0.55948,                0.46732,                0.44775,                0.30328,                 1.4876,                 2.1547,                 1.9744,             0.00034108,             0.00034108,             0.00034108
                    107,                0.97246,                 1.2446,                 1.4177,                0.53348,                0.45961,                0.44654,                0.29683,                 1.5234,                 2.0967,                 2.0191,             0.00033374,             0.00033374,             0.00033374
                    108,                0.95701,                 1.2069,                 1.4093,                0.48793,                0.46587,                0.42458,                0.28003,                 1.4771,                 2.1513,                  1.971,             0.00032641,             0.00032641,             0.00032641
                    109,                0.96483,                 1.2517,                 1.4244,                0.35515,                 0.4199,                0.39708,                 0.2654,                 1.5153,                 2.2397,                 2.0291,             0.00031908,             0.00031908,             0.00031908
                    110,                0.94294,                 1.2062,                 1.3918,                0.48374,                 0.4627,                0.44807,                0.29422,                 1.5213,                 2.0984,                 1.9937,             0.00031175,             0.00031175,             0.00031175
                    111,                 0.9415,                 1.1771,                 1.3839,                0.49005,                0.45384,                0.44907,                0.30082,                 1.4924,                 2.0508,                 1.9893,             0.00030441,             0.00030441,             0.00030441
                    112,                0.91202,                 1.1493,                 1.3715,                0.46591,                0.52016,                0.47574,                0.32036,                 1.4443,                 1.9611,                 1.9426,             0.00029708,             0.00029708,             0.00029708
